Entity,Type,
http://www.w3.org/2002/07/owl#Thing,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#0-坤（阴）,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#00-老阴-冬,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#000-坤-地,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#000-000-坤-坤下坤上-02,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#000-001-剥-坤下艮上-23,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#000-010-比-坤下坎上-08,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#000-011-观-坤下巽上-20,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#000-100-豫-坤下震上-16,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#000-111-否-坤下乾上-12,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#001-艮-山,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#001-000-谦-艮下坤上-15,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#001-110-咸-艮下兑上-31,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#01-少阳-春,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#010-坎-水（云）,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#010-000-师-坎下坤上-07,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#010-001-蒙-坎下艮上-04,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#010-010-坎-坎下坎上-29,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#010-111-讼-坎下乾上-06,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#011-巽-风,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#011-001-蛊-巽下艮上-18,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#011-110-大过-巽下兑上-28,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#1-乾（阳）,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#1-初九-同人于门，无咎。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#1-初九-复自道，何其咎，吉,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#1-初九-官有渝，贞吉，出门交有功。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#1-初九-拔茅茹，以其汇征，吉,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#1-初九-无交害，匪咎，艰则无咎。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#1-初九-潜龙勿用,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#1-初九-素履往，无咎,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#1-初九-需于郊，利用恒，无咎,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#1-初六-不永所事，小有言，终吉,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#1-初六-发蒙，利用刑人，用说桎梏，以往，吝,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#1-初六-履霜坚冰至,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#1-初六-师出以律，否臧凶,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#1-初六-干父之蛊，有子，考无咎，厉终吉。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#1-初六-拔茅茹，以其汇，贞吉亨。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#1-初六-有孚，比之，无咎。有孚，盈缶，终来有它吉,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#1-初六-谦谦君子，用涉大川，吉。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#1-初六-鸣豫，凶。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#1-初九-磐桓(huan2)，利居贞，利建侯,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#10-少阴-秋,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#100-震-雷,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#100-000-复-震下坤上-24,Class,
